"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","pct_Barrest","pct_Warrest","prop_Barr","prop_Warr","prop_arr","SIR_Barr","SIR_Warr","SIR_arr","RE_tot","RE_B","RE_W"
11605,2015,90,162,255,37,129,5044,3962,797,0.785487708,0.158009516,35.3194825558604,63.5045080360643,11.290929619872,4.08874081926251,5.05541127257588,0.996357191208462,1.86943259950865,1.47879868281225,-0.672997534275055,-0.380054146051407,-0.800259947776794
11605,2016,88,115,207,37,129,5382,4139,881,0.769044965,0.163693794,42.5398358281024,55.5287300820859,9.98751560549313,2.77838177381556,3.84608238419948,0.88142117454071,1.27037843996987,1.12508781692281,2.16939496994019,0.497259855270386,2.48914241790771
11605,2017,121,133,257,37,129,5115,3904,926,0.763245357,0.181036168,47.1022948269156,51.7308440295605,13.0655436777886,3.40667503393868,5.02433970010361,1.15311398406004,1.55755594523929,1.46972111568259,0.613747119903564,-0.340670585632324,0.706151962280273
11605,2018,65,103,169,37,129,5603,4176,1346,0.74531501,0.240228449,38.4979302188054,60.9107037256062,4.8287645791546,2.4664160340988,3.01618746765184,0.42628035190672,1.1277470145239,0.882338363794628,0.0864625945687294,0.23411837220192,-0.000272484496235847
11606,2010,11,15,26,37,129,4020,3335,470,0.82960199,0.116915423,42.5287356321839,57.4712643678161,2.33992767496277,0.449761626338041,0.64675008084376,0.20634375022053,0.20559401967498,0.189159038432849,0.721489667892456,1.13861787319183,0.922765851020813
11606,2011,8,24,33,37,129,4047,3341,549,0.82554979,0.135656042,24.4712990936556,72.5075528700906,1.45692952103442,0.718326299721649,0.815398680536681,0.128508359714279,0.328360487681471,0.238485866456123,1.13060104846954,2.00204038619995,0.759381890296936
11606,2012,7,28,35,37,129,4201,3559,463,0.847179243,0.110211854,20.2279202279202,79.7720797720798,1.51155258043619,0.786715742743952,0.833115136511866,0.133291122240825,0.359652072026027,0.243673768082081,-1.03143680095673,-1.33571910858154,-0.737997531890869
11606,2013,8,14,22,37,129,4285,3582,600,0.835939323,0.140023337,36.6515837104072,63.3484162895928,1.33311114814198,0.390832193406103,0.513406921658771,0.117601206422837,0.178672847759698,0.150165856723556,0.418688714504242,0.482419937849045,0.360078930854797
11606,2014,4,18,23,37,129,4498,3843,509,0.854379724,0.113161405,17.7489177489177,77.9220779220779,0.785700255352583,0.468371887278499,0.511327004735333,0.0692948767310353,0.214139049476155,0.149562172974839,0.621852457523346,0.267399936914444,0.677712500095367
11606,2015,13,33,46,37,129,4786,4016,629,0.839114083,0.13142499,28.4164859002169,71.5835140997831,2.06644412652996,0.821692686935086,0.961116566724473,0.182303573836797,0.375695716024145,0.281135386233333,0.198799312114716,-0.168181210756302,0.318334966897964
11606,2016,2,13,15,37,129,4809,4084,595,0.849241006,0.123726346,13.9072847682119,86.0927152317881,0.336077970089061,0.318307583066037,0.311908673140504,0.0296469967323767,0.145539828430838,0.0912363972089671,-1.39426612854004,0.0368197038769722,-2.10363936424255
11606,2017,7,12,19,37,129,5044,4180,671,0.828707375,0.133029342,37.1727748691099,62.82722513089,1.04306362688124,0.287074471902586,0.376677702662517,0.0920271808455852,0.131262409077293,0.110184999895815,-2.11101818084717,-1.67722320556641,-1.83453857898712
11606,2018,9,11,20,37,129,5114,4278,628,0.83652718,0.122800156,45.273631840796,54.726368159204,1.43289285145677,0.2571234893995,0.391075653585186,0.126410855827416,0.117570453651776,0.114397536419504,-2.23779582977295,-2.31176018714905,-1.93647181987762
11607,2010,0,3,3,37,129,10451,8353,882,0.79925366,0.084393838,3.2258064516129,96.7741935483871,0,0.0359148100705127,0.028705112380515,0,0.0164305300022836,0.00839919533024269,-0.275212347507477,-0.0226187966763973,-0.200533673167229
11607,2011,0,6,6,37,129,10451,8518,924,0.815041623,0.088412592,1.63934426229508,98.3606557377049,0,0.0704382432702128,0.0574102247610299,0,0.0322248586888286,0.0167983906604854,-0.74188894033432,-0.126236066222191,-0.528969943523407
11607,2012,1,43,44,37,129,10824,9515,891,0.879065041,0.082317073,2.49433106575964,97.5056689342404,0.112220850634048,0.451913274689704,0.406500309494554,0.00990384634514646,0.206757613698721,0.118944223992189,-0.32315468788147,-0.0245940685272217,-0.219492480158806
11607,2013,0,4,4,37,129,10985,9677,986,0.880928539,0.089758762,2.4390243902439,97.5609756097561,0,0.0413346973783468,0.0364129593722406,0,0.0189114397858666,0.0106546727473114,-0.35517817735672,-1.09408557415009,-0.156187996268272
11607,2014,0,3,3,37,129,10857,9319,1073,0.858340241,0.098830248,3.2258064516129,96.7741935483871,0,0.0321919498664034,0.0276316880198211,0,0.0147281907126099,0.00808519014762233,1.21453964710236,-0.0160894077271223,1.63197910785675
11607,2015,0,6,6,37,129,10860,9222,1194,0.849171271,0.109944751,1.63934426229508,98.3606557377049,0,0.0650611032194403,0.0552481100542352,0,0.0297660595323832,0.0161659145429025,2.01427221298218,1.23261177539825,2.23405647277832
11607,2016,0,1,1,37,129,11571,9543,1385,0.824734249,0.119695791,9.09090909090909,90.9090909090909,0,0.0104787752407499,0.00864222070503236,0,0.00479421533820428,0.00252880388520606,0.444481670856476,0.601254999637604,0.383413761854172
11607,2017,2,5,7,37,129,11629,9349,1629,0.80393843,0.140080832,29.5774647887324,70.4225352112676,0.122767172058192,0.0534810837406809,0.0601938241136459,0.0108389050857086,0.0244682542651051,0.0176133619938359,0.270328044891357,0.705128371715546,-0.117685899138451
11607,2018,0,2,2,37,129,12732,10186,1434,0.800031417,0.112629595,4.76190476190476,95.2380952380952,0,0.0196346000922826,0.0157083277699672,0,0.00898342462671561,0.0045965228576479,0.262720257043839,0.886842429637909,0.29367271065712
11608,2010,1,0,1,37,129,5308,3934,1195,0.741145441,0.225131876,100,0,0.0836750062756255,0,0.018839132646333,0.00738623507824178,0,0.00551093850548643,0.749825656414032,0.256887644529343,1.00997483730316
11608,2011,0,5,5,37,129,5272,4142,973,0.785660091,0.184559939,1.96078431372549,98.0392156862745,0,0.120711716279182,0.0948388687619734,0,0.0551938841775923,0.0277427461185064,-0.982745409011841,-1.1394008398056,-0.998452663421631
11608,2012,1,0,1,37,129,5457,4263,1015,0.781198461,0.185999633,100,0,0.098512461826421,0,0.0183247512415019,0.00869497034757556,0,0.00536054640967237,3.15126848220825,3.71532845497131,2.79322862625122
11608,2013,0,0,0,37,129,5674,4607,871,0.811949242,0.153507226,100,0,0,0,0,0,0,0,-0.391108751296997,-0.342535734176636,-0.111148118972778
11608,2014,0,0,0,37,129,5766,4958,633,0.859868193,0.109781478,100,0,0,0,0,0,0,0,1.46011340618134,1.29009652137756,1.55756199359894
11608,2015,0,0,0,37,129,6467,5381,813,0.832070512,0.125715169,100,0,0,0,0,0,0,0,1.49881339073181,1.64956343173981,1.4183783531189
11608,2016,1,0,1,37,129,5993,4789,967,0.799098949,0.161354914,100,0,0.103401923275773,0,0.0166858554003771,0.00912617788410337,0,0.00488134561849084,-0.758090257644653,-0.586418747901917,-0.831719160079956
11608,2017,0,0,0,37,129,6101,5002,765,0.819865596,0.12538928,100,0,0,0,0,0,0,0,-1.71815979480743,-2.06957364082336,-1.76918172836304
11608,2018,0,0,0,37,129,6144,4906,1003,0.798502604,0.163248698,100,0,0,0,0,0,0,0,0.86748069524765,1.25099885463715,0.630024671554565
11701,2010,16,91,107,37,129,4056,3749,139,0.924309665,0.034270217,15.0326797385621,84.9673202614379,11.5025161754134,2.42724920647622,2.63800202164641,1.01033644592964,1.10970296791011,0.771557751110851,1.49101614952087,1.99321854114532,1.43901968002319
11701,2011,14,91,105,37,129,4345,3998,141,0.92013809,0.032451093,13.4157944814462,86.5842055185538,9.92204110559887,2.27608113854081,2.41651515500219,0.871582820104984,1.04066843907489,0.706810439576493,-0.917408585548401,-0.964060485363007,-0.76516205072403
